IP:PORT, LOSS, DELAY
188.114.98.38:2506,0.00%,202 ms
188.114.99.62:894,0.00%,203 ms
188.114.96.32:894,0.00%,203 ms
188.114.98.243:894,0.00%,203 ms
188.114.96.225:894,0.00%,207 ms
188.114.96.131:894,0.00%,210 ms
188.114.97.170:2506,0.00%,210 ms
188.114.98.14:894,0.00%,211 ms
188.114.97.235:894,0.00%,212 ms
188.114.96.57:894,0.00%,215 ms
188.114.96.66:2506,0.00%,215 ms
188.114.98.131:2506,0.00%,215 ms
188.114.99.86:894,0.00%,217 ms
188.114.98.243:2506,0.00%,218 ms
188.114.98.238:894,0.00%,221 ms
188.114.96.173:894,0.00%,222 ms
188.114.96.206:2506,0.00%,223 ms
188.114.98.152:2506,0.00%,224 ms
188.114.97.234:894,0.00%,224 ms
188.114.96.101:2506,0.00%,224 ms
188.114.97.145:2506,0.00%,224 ms
188.114.97.61:2506,0.00%,224 ms
188.114.97.100:2506,0.00%,225 ms
188.114.98.49:894,0.00%,225 ms
188.114.99.210:2506,0.00%,225 ms
188.114.99.149:2506,0.00%,225 ms
188.114.96.224:894,0.00%,225 ms
188.114.97.61:894,0.00%,225 ms
188.114.99.216:2506,0.00%,226 ms
188.114.97.72:2506,0.00%,227 ms
188.114.96.10:894,0.00%,227 ms
188.114.96.104:894,0.00%,227 ms
188.114.97.145:894,0.00%,228 ms
188.114.96.57:2506,0.00%,228 ms
188.114.96.104:2506,0.00%,229 ms
188.114.99.32:894,0.00%,229 ms
188.114.96.77:894,0.00%,230 ms
188.114.98.30:894,0.00%,230 ms
188.114.99.90:894,0.00%,230 ms
188.114.98.14:2506,0.00%,231 ms
188.114.96.136:894,0.00%,231 ms
188.114.98.239:894,0.00%,231 ms
188.114.97.24:894,0.00%,231 ms
188.114.98.210:2506,0.00%,231 ms
188.114.99.210:894,0.00%,231 ms
188.114.97.31:2506,0.00%,231 ms
188.114.99.214:2506,0.00%,231 ms
188.114.98.90:2506,0.00%,231 ms
188.114.96.206:894,0.00%,232 ms
188.114.99.214:894,0.00%,232 ms
188.114.97.25:894,0.00%,233 ms
188.114.96.136:2506,0.00%,233 ms
188.114.98.254:894,0.00%,233 ms
188.114.97.29:2506,0.00%,234 ms
188.114.99.83:894,0.00%,234 ms
188.114.97.141:894,0.00%,234 ms
188.114.98.131:894,0.00%,234 ms
188.114.99.241:2506,0.00%,234 ms
188.114.98.166:2506,0.00%,235 ms
188.114.97.111:894,0.00%,235 ms
188.114.96.132:2506,0.00%,235 ms
188.114.97.144:2506,0.00%,235 ms
188.114.97.64:2506,0.00%,236 ms
188.114.96.141:2506,0.00%,236 ms
188.114.98.30:2506,0.00%,236 ms
188.114.98.51:894,0.00%,236 ms
188.114.98.166:894,0.00%,237 ms
188.114.99.241:894,0.00%,237 ms
188.114.96.210:2506,0.00%,237 ms
188.114.96.186:894,0.00%,237 ms
188.114.98.162:2506,0.00%,237 ms
188.114.97.188:2506,0.00%,238 ms
188.114.96.35:2506,0.00%,238 ms
188.114.96.172:894,0.00%,238 ms
188.114.96.32:2506,0.00%,238 ms
188.114.99.32:2506,0.00%,239 ms
188.114.98.146:2506,0.00%,240 ms
188.114.99.86:2506,0.00%,240 ms
188.114.98.210:894,0.00%,242 ms
188.114.99.87:894,0.00%,242 ms
188.114.99.10:894,0.00%,242 ms
188.114.97.64:894,0.00%,243 ms
188.114.96.183:894,0.00%,243 ms
188.114.96.131:2506,0.00%,243 ms
188.114.98.152:894,0.00%,243 ms
188.114.96.10:2506,0.00%,243 ms
188.114.99.83:2506,0.00%,243 ms
188.114.96.83:2506,0.00%,243 ms
188.114.96.76:2506,0.00%,244 ms
188.114.96.192:2506,0.00%,244 ms
188.114.99.50:894,0.00%,244 ms
188.114.98.238:2506,0.00%,244 ms
188.114.97.188:894,0.00%,244 ms
188.114.99.50:2506,0.00%,244 ms
188.114.99.169:894,0.00%,245 ms
188.114.97.203:2506,0.00%,245 ms
188.114.99.15:894,0.00%,245 ms
188.114.96.101:894,0.00%,245 ms
188.114.99.81:2506,0.00%,245 ms
188.114.97.69:2506,0.00%,245 ms
188.114.98.190:894,0.00%,245 ms
188.114.97.144:894,0.00%,246 ms
188.114.96.224:2506,0.00%,246 ms
188.114.97.236:2506,0.00%,246 ms
188.114.96.144:894,0.00%,246 ms
188.114.98.3:894,0.00%,246 ms
188.114.97.29:894,0.00%,247 ms
188.114.99.174:2506,0.00%,247 ms
188.114.99.90:2506,0.00%,247 ms
188.114.97.59:894,0.00%,248 ms
188.114.99.10:2506,0.00%,248 ms
188.114.97.244:894,0.00%,248 ms
188.114.98.6:894,0.00%,248 ms
188.114.98.235:894,0.00%,248 ms
188.114.98.204:894,0.00%,248 ms
188.114.97.203:894,0.00%,249 ms
188.114.98.185:2506,0.00%,249 ms
188.114.97.8:2506,0.00%,249 ms
188.114.98.90:894,0.00%,250 ms
188.114.98.190:2506,0.00%,250 ms
188.114.99.16:894,0.00%,250 ms
188.114.99.134:2506,0.00%,250 ms
188.114.96.141:894,0.00%,250 ms
188.114.98.235:2506,0.00%,250 ms
188.114.96.40:2506,0.00%,251 ms
188.114.99.134:894,0.00%,251 ms
188.114.96.172:2506,0.00%,252 ms
188.114.99.18:894,0.00%,252 ms
188.114.96.0:2506,0.00%,254 ms
188.114.96.0:894,0.00%,255 ms
188.114.97.111:2506,0.00%,255 ms
