IP:PORT, LOSS, DELAY
[2606:4700:d0::0d83:30d3:dc8c:4573]:2371,0.00%,268 ms
[2606:4700:d0::04f9:a0e1:421e:0a70]:2371,0.00%,271 ms
[2606:4700:d0::0d83:30d3:dc8c:4573]:955,0.00%,272 ms
[2606:4700:d0::4a8a:24d8:5153:73a2]:955,0.00%,272 ms
[2606:4700:d1::32a3:9849:119c:e290]:955,0.00%,272 ms
[2606:4700:d0::4fa3:ba5d:b717:4fef]:2371,0.00%,272 ms
[2606:4700:d1::39ae:dcc7:1205:ac8e]:2371,0.00%,273 ms
[2606:4700:d1::46c8:95a1:5f27:0e95]:955,0.00%,275 ms
[2606:4700:d1::ac65:4f6a:7397:d3c3]:2371,0.00%,275 ms
[2606:4700:d0::605b:4d9d:6d37:4caf]:955,0.00%,275 ms
[2606:4700:d1::541b:b532:a425:5931]:2371,0.00%,275 ms
[2606:4700:d1::930d:c8a6:a6c8:a370]:2371,0.00%,276 ms
[2606:4700:d1::c0ce:7cc3:a504:b341]:955,0.00%,276 ms
[2606:4700:d1::930d:c8a6:a6c8:a370]:955,0.00%,276 ms
[2606:4700:d0::b623:7585:a94c:0d6e]:2371,0.00%,276 ms
[2606:4700:d0::ded5:1458:ba59:363a]:955,0.00%,277 ms
[2606:4700:d1::ec15:16fb:c57c:0e2e]:955,0.00%,278 ms
[2606:4700:d0::e966:27aa:241f:58de]:955,0.00%,278 ms
[2606:4700:d1::edfb:c89c:3c5d:ca18]:955,0.00%,279 ms
[2606:4700:d1::0f1c:8d05:a27f:c434]:955,0.00%,279 ms
[2606:4700:d1::7c20:707c:19b5:a52c]:2371,0.00%,280 ms
[2606:4700:d0::41dd:30fe:0ce8:c4e0]:2371,10.00%,343 ms
[2606:4700:d0::3437:4ec0:1795:d2cf]:2371,10.00%,344 ms
[2606:4700:d1::c462:61de:e343:171f]:955,10.00%,344 ms
[2606:4700:d0::53f4:623f:1029:9d75]:2371,10.00%,344 ms
[2606:4700:d0::04f9:a0e1:421e:0a70]:955,10.00%,344 ms
[2606:4700:d0::4a8a:24d8:5153:73a2]:2371,10.00%,344 ms
[2606:4700:d1::6914:6f75:da76:316c]:955,10.00%,344 ms
[2606:4700:d0::4d7b:a970:a98a:07ad]:955,10.00%,344 ms
[2606:4700:d0::3bef:a208:bd27:caba]:955,10.00%,344 ms
[2606:4700:d1::fb14:b403:083b:b899]:955,10.00%,344 ms
[2606:4700:d0::3437:4ec0:1795:d2cf]:955,10.00%,344 ms
[2606:4700:d1::0294:57c0:a677:fd04]:2371,10.00%,345 ms
[2606:4700:d0::8ec2:f99c:8725:3a44]:2371,10.00%,345 ms
[2606:4700:d0::605b:4d9d:6d37:4caf]:2371,10.00%,345 ms
[2606:4700:d0::770b:b596:0f99:4042]:2371,10.00%,345 ms
[2606:4700:d1::a359:05b3:e338:97f4]:955,10.00%,345 ms
[2606:4700:d0::86c9:4f75:ba94:e15e]:2371,10.00%,345 ms
[2606:4700:d0::3176:77b3:4555:63f5]:955,10.00%,345 ms
[2606:4700:d1::5a1e:e5c4:2a04:5991]:955,10.00%,346 ms
[2606:4700:d0::a681:8997:07b9:fa3b]:2371,10.00%,346 ms
[2606:4700:d1::942d:984a:6a8c:97ab]:955,10.00%,346 ms
[2606:4700:d1::97a8:a151:9c08:9a97]:2371,10.00%,346 ms
[2606:4700:d0::4fa3:ba5d:b717:4fef]:955,10.00%,346 ms
[2606:4700:d1::433b:9282:193f:1bcb]:2371,10.00%,347 ms
[2606:4700:d1::433b:9282:193f:1bcb]:955,10.00%,347 ms
[2606:4700:d0::ae88:ef6f:3a18:a144]:2371,10.00%,347 ms
[2606:4700:d0::53f4:623f:1029:9d75]:955,10.00%,347 ms
[2606:4700:d1::46c8:95a1:5f27:0e95]:2371,10.00%,348 ms
[2606:4700:d0::9fd3:3c43:177f:71f0]:955,10.00%,348 ms
[2606:4700:d1::c6a6:cf22:c176:1ee8]:2371,10.00%,348 ms
[2606:4700:d0::bbdf:4763:18ba:8c5a]:955,10.00%,348 ms
[2606:4700:d0::69b5:96e8:8324:0367]:955,10.00%,348 ms
[2606:4700:d0::64b4:3732:fc40:13b5]:955,10.00%,348 ms
[2606:4700:d0::ac5a:0359:41f3:d01f]:955,10.00%,348 ms
[2606:4700:d1::f1b7:62f6:9cf4:cdd6]:955,10.00%,348 ms
[2606:4700:d0::d2b8:47b3:b3ce:2ce9]:2371,10.00%,349 ms
[2606:4700:d1::7f29:375b:ff6a:5ab6]:2371,10.00%,349 ms
[2606:4700:d1::7f29:375b:ff6a:5ab6]:955,10.00%,349 ms
[2606:4700:d0::6d55:9f99:2a97:783c]:955,10.00%,349 ms
[2606:4700:d1::b77d:fd56:b2b7:c235]:2371,10.00%,349 ms
[2606:4700:d0::ac88:ec0b:eb7e:7fa3]:2371,10.00%,349 ms
[2606:4700:d1::201e:7b58:035b:85e5]:955,10.00%,349 ms
[2606:4700:d1::d7af:6e07:9ff7:5f54]:2371,10.00%,350 ms
[2606:4700:d0::652d:a702:91cf:ae74]:2371,10.00%,350 ms
[2606:4700:d0::e2e4:f50b:24a3:992c]:955,10.00%,350 ms
[2606:4700:d1::fba6:7896:d27d:c900]:955,10.00%,350 ms
[2606:4700:d0::e086:b1e0:de2f:cbcd]:2371,10.00%,350 ms
[2606:4700:d0::e086:b1e0:de2f:cbcd]:955,10.00%,350 ms
[2606:4700:d1::7b6d:035b:b70d:d564]:955,10.00%,350 ms
[2606:4700:d1::942d:984a:6a8c:97ab]:2371,10.00%,350 ms
[2606:4700:d1::10e4:fc97:88f3:b506]:955,10.00%,352 ms
[2606:4700:d0::df83:24ed:a620:6b65]:2371,10.00%,352 ms
[2606:4700:d0::ded5:1458:ba59:363a]:2371,10.00%,352 ms
[2606:4700:d1::2567:8805:c13f:1b04]:2371,10.00%,352 ms
[2606:4700:d0::d626:1a42:49b0:fcd0]:2371,10.00%,352 ms
[2606:4700:d1::fba6:7896:d27d:c900]:2371,10.00%,353 ms
[2606:4700:d1::0126:33f2:338c:650a]:955,10.00%,353 ms
[2606:4700:d1::7b6d:035b:b70d:d564]:2371,10.00%,353 ms
[2606:4700:d0::e2a9:76f2:0676:49a9]:955,10.00%,354 ms
[2606:4700:d0::3176:77b3:4555:63f5]:2371,20.00%,414 ms
[2606:4700:d1::6b27:e69b:7f3e:6611]:2371,20.00%,414 ms
[2606:4700:d0::c454:380d:7de1:6a8f]:955,20.00%,414 ms
[2606:4700:d0::368e:c448:e60e:5dca]:955,20.00%,414 ms
[2606:4700:d0::0065:765f:ec36:6eab]:2371,20.00%,415 ms
[2606:4700:d1::7e3c:97cb:6eb5:9599]:2371,20.00%,415 ms
[2606:4700:d1::9593:19a8:1b84:8448]:2371,20.00%,415 ms
[2606:4700:d0::a681:8997:07b9:fa3b]:955,20.00%,415 ms
[2606:4700:d1::172e:26bb:2a43:2f74]:2371,20.00%,415 ms
[2606:4700:d1::49c3:c8ed:c5b6:1f74]:2371,20.00%,416 ms
[2606:4700:d1::201e:7b58:035b:85e5]:2371,20.00%,416 ms
